id,screen_name,text_raw,like_counts,total_number,created_at
4.68658E+15,余大猩猩seven,评论里面是职业黑吧 都统一说的什么敷衍不追了 麻烦你们看清自己好吧 人家也没有让你付费 她更新也不是为了博眼球 为什么要按照那些网红一样有事无事都拿出来拍？ 我觉得这些人都不是粉丝在这里冒充 她一个视频跨度半年一年 而且她也是展示自己生活 粉丝不要把自己地位抬高 说些莫名其妙的话,49,3,Wed Sep 29 02:03:21 +0800 2021
4.67486E+15,喻文州的妹妹,看了她助理的微博，李子柒的确已经无心视频了。今年的视频其实已经大不如前了，主要是太在乎自己的形象没有了以往的灵性，还有为了拍20分钟视频而拍很多做菜仅仅为了凑时间看起来毫无食欲，以前视频短而精质量丝毫不输长视频。万万没想到暑假只有一个视频，马上开学了再见。,45,10,Fri Aug 27 17:30:41 +0800 2021
4.67321E+15,吃不胖芳_,工作重心转移？现在感觉是在糊弄粉丝。火起来原因之一是视频时间跨度长用一颗匠心去对待段视频和粉丝。现在作品就是单纯拖时长的做饭视频，感觉是在闲暇之余忽然想到粉丝为了自己的曝光度不掉粉而仓促拍摄敷衍粉丝。初心何在？（我也是多年的粉丝了只是提出问题都是为了李子柒更好一些上头的人别喷我）,42,45,Mon Aug 23 04:14:51 +0800 2021
4.65894E+15,Jinny_sun,太突然了啊啊啊啊[抱一抱][抱一抱]姐姐你憋着急更新更完了自己想更新的系列就好好休息下！,40,0,Wed Jul 14 19:14:54 +0800 2021
4.65894E+15,皮皮夏噢,卧槽卧槽卧槽！！！！我来了来了来了！！！,38,1,Wed Jul 14 19:14:59 +0800 2021
4.6621E+15,丁老仨儿,子柒，你捐赠的物资已安全到达河南郑州，河南人民感谢你！ http://t.cn/A6fmx8CN,38,0,Fri Jul 23 12:26:47 +0800 2021
4.65896E+15,小烦人0627,猛的就开了，就像我们国家经历了种种困难，拨开云雾见光明，迎来更美好的未来[心] http://t.cn/A6fWKTa0,36,3,Wed Jul 14 20:27:25 +0800 2021
4.68511E+15,大米家的小小米,姑娘放心吧，不管李子柒这个名字是否属于你，我们都只认你这张脸，让那些资本滚蛋，从头来过户怕户,32,0,Sat Sep 25 00:06:50 +0800 2021
4.67132E+15,Dobur盼,请更新的时候别再说想我们之类的敷衍的话了，因为那么久不更新，每次都这样说，谁信呢,30,6,Tue Aug 17 23:17:05 +0800 2021
4.67353E+15,玩物丧志的喵,以后不要再说想我们了，你压根在敷衍我们，我不想再追你的视频了，你跟很多人一样，假到死！,28,6,Tue Aug 24 01:27:39 +0800 2021
4.65894E+15,上邪蓝腻,天气热，姐要防晒防暑[心],27,0,Wed Jul 14 19:13:39 +0800 2021
4.6717E+15,Augenstern-Pro,以前是两周一更，现在都一个多月了……感觉越来越慢了,26,6,Thu Aug 19 00:08:20 +0800 2021
4.65894E+15,Jinny_sun,嘛呀啊啊啊来了接啊啊 http://t.cn/A6fW6WM3,25,0,Wed Jul 14 19:14:04 +0800 2021
4.66845E+15,小猫玉子烧,再看一遍,25,1,Tue Aug 10 00:49:10 +0800 2021
5.00221E+15,一颗糖2151,2024年了,25,1,Sat Feb 17 01:08:02 +0800 2024
4.9076E+15,平平无奇尴尬小笼屉jpg,[泪]什么时候能更新,25,0,Wed May 31 23:05:21 +0800 2023
4.67526E+15,緈好懮你,我也关注好几年了，现在店铺开起来了，货品种也越来越多了，视频更新越来越慢，我都快博主忘了。粉丝积攒的足够多了，也不需要好好维护了吧。,24,9,Sat Aug 28 20:20:50 +0800 2021
4.67381E+15,Tutul小杜子,一个多月都不出一个视频  还关注干啥,23,1,Tue Aug 24 20:19:15 +0800 2021
4.67523E+15,Onedayyy12,感觉火了之后就很久才更新一次了 之前经常更新,23,0,Sat Aug 28 18:00:10 +0800 2021
4.65894E+15,锦鱼浅戈亡,啊啊啊啊啊啊啊啊啊终于更新啦！！！！！！等了好久！！！,22,1,Wed Jul 14 19:17:48 +0800 2021
4.65925E+15,绿桃子33_42654,流觞曲水,21,0,Thu Jul 15 15:39:31 +0800 2021
4.65895E+15,烤冷面为什么不叫烤热面,笑死我了，民国留在家里陪婆婆，柒姐跟摄影师哥哥欢快出门了，摄影师哥哥甚至在后座欢快的唱起了歌：噔噔噔噔～（姐姐开车载我的话，我甚至能在车上跳舞！）,21,15,Wed Jul 14 19:36:07 +0800 2021
4.65894E+15,玫瑰瓦斯K,热评?，拿来吧你,19,1,Wed Jul 14 19:15:11 +0800 2021
4.67414E+15,松林SonglinChan,螺蛳粉调料包里面有条头发 http://t.cn/A6Ij625D,19,3,Wed Aug 25 18:08:04 +0800 2021
4.67553E+15,今天你爬电线杆了吗,把08年甚至更早的视频删了，给自己的微博树立好的人设。日常准备发到绿洲，让助理发条微博告知。怎么，你这个微博是粉丝不配告知吗？你多少粉丝是直接关注你的，你助理也是多久更一次？别装逼，也别在这流量时代装人设，脱粉的大多数是关注了你几年的，正因为你前后的转变太大，很多人才不满,19,15,Sun Aug 29 13:43:46 +0800 2021
4.67527E+15,山水涧_,从以前的支持，到现在的无语，更新时间越拖越长,17,2,Sat Aug 28 20:51:05 +0800 2021
4.65894E+15,柒家云鹤123,来了来了，阿姐我来了,16,0,Wed Jul 14 19:23:19 +0800 2021
4.67275E+15,又拽又拉风,还没更新,16,0,Sat Aug 21 21:40:13 +0800 2021
4.6739E+15,苏EAR,飘咯票咯 上个月7.14更新的视频到这个月8.25还没更新 [黑线] 一个月剪辑不出来一个视频[疑问],16,1,Wed Aug 25 01:48:07 +0800 2021
4.6737E+15,九江v布二家派对v,就这更新速度，不掉粉吗？是准备改行了吗,16,0,Tue Aug 24 12:51:11 +0800 2021
4.68076E+15,就是要发疯-,怎么还不更新,15,0,Mon Sep 13 00:03:25 +0800 2021
4.82492E+15,归许i,想你！,15,0,Sat Oct 15 19:30:03 +0800 2022
