用户名,评论内容,点赞数,评论时间
えんじ槐,哇塞！！爷青回,32,1731472611
吃辣条的鱼Zz,腹泻式更新，好耶[打call],32,1731472345
我就要积极向上,送上一个夕阳[给心心],30,1731472401
小樽香菜,哇哇哇哇哇！姐要不要这么高产啊啊啊！！爱你爱你爱你[喜欢][喜欢][喜欢],27,1731472664
没有意义的数字生命,账号是李的，但是品牌产品不是李的[哦呼]那也行，反正李子柒螺蛳粉也不好吃。,27,1731474162
笙歌漫漫舞长葉,哇，更新的好勤快啊！攒了三年的存货一股脑的倒出来吗？这个可以有[给心心][给心心],26,1731472297
芋艿小妮,太好啦，刚好吃午饭，中午好啊姐姐?,24,1731472701
篱洛y,欢迎回来，我们一直都在[打call][打call],24,1731474168
倾世,这一期结尾真的看哭了[大哭]后面计时滚动，我以为会空白三年，但是没有，虽然没有发视频，但你这三年并不是空白的,24,1731475975
工藤九零,欢迎回来！,23,1731473210
海西子丶,欢迎回来,23,1731472701
轮子_君,看到这个评论的时候真的泪崩了：“我字面意义上几乎每天都会检查你的账号有没有更新，并且期待着你回来，李子柒。我知道我们的文化之间基本没有关联，但是你的视频给...,23,1731861312
青丿空_,前几天我刚买了蚕茧材料包给我闺蜜DIY一把喜扇,23,1731475968
肖余逸,多发，爱看[给心心][给心心][给心心][给心心][给心心][给心心][给心心],22,1731472611
蒙德幼儿园园长德丽莎,根本看不完！[星星眼],21,1731472624
鑫森淼燚垚燚淼森鑫,烫手,21,1731472317
解放稻妻的旅行者,凌晨1点，还有1万人同时观看[doge_金箍],21,1731692043
lrj路人贾,泪目，像李子柒这样的大v都被mcn坑了，雪藏3年；话说现在社会上mcn各种套路陷阱合同越来越普遍了，比当年的传销更恶劣了吧？,20,1731509497
十一份马蹄糕,[大哭][大哭][大哭][大哭][大哭]谁懂啊！唱歌高潮的部分。我一个大老爷们在办公室泪流满面！！！！！！[大哭],20,1731475984
阿阿菜菜子,3年多不见，再见看到仙女姐姐和婆婆都好好的，好感动，时间像被冻住一样，一切如旧，希望姐姐能长长久久地陪着我们，婆婆身体健康长长久久地陪着我们,20,1731500053
C维生素L,"特朗普上台
李子柒回归
华农养竹鼠
还有俩月元旦
什么重返2019[doge]",18,1731574395
日光兑可乐,有些评论真的酸味溢出屏幕了，那些酸话来来回回还和三年前一样陈腐，后槽牙都咬碎了也不影响你柒姐中文区世界顶流的地位哈,18,1731674174
vlog谈恋爱了,祝福每个人都能成为自己的“李子柒”,17,1731497634
魔人普烏,當妳的歌聲一出來，我的淚繃不住了??,16,1731602681
楼太斯,是不是存了三年的视频,15,1731472353
摩牙爱情保护协会会长,天呐是做绒花吗！,14,1731472679
咸鱼不闲_syndro,好家伙，一打开就有新视频可以看，这是攒的存货已经可以实现日更了吗？[喜极而泣],14,1731472517
張靜山,"太恭喜了，脫離無良的資本家，吃人的合同綁架。
各位小友們，不管做啥事，簽定合同，務必仔細通讀內容，或找个律師跟您解說，避免踏入陷阱簽訂不平等合同。",14,1731560106
そして未来へ,11.13也是我生日耶???，一起生日快乐??,14,1731514132
季瑪,"In your recent interview with Xinhua, you showed once again what a wonderful person you are with a deep inner world and kindness. I have never met anyone like you. You're truly special, and we do not even take into account your skills and talent here. You live 4k miles away from me, speak a different language and have a different mentality, but you came back and filled the void. This is all you need to understand when you talk about your low self-esteem.
You're a treasure.",13,1731864484
peilepei,一个子柒归来，一个破茧成蝶，中国人的浪漫，子柒生日快乐，所愿，如愿,13,1731489987
神经科一趟250,有些人就算官司缠身也不忘日常记录拍摄，有些人一本书鸽十年,13,1731473538
