用户名,评论内容,点赞数,评论时间
哎柚柚233,"多肉和苔藓是两种根本习性不同的植物，大多数情况下是无法一起养的。

但并不是每一种多肉不爱水不爱阴，而也不是每一种苔藓都喜欢水都不爱阳光。

只要找对了他们相互匹配的品种用合理方式养护，他们也可以和谐相处，放在一起生长。[打call]",226,1622910747
一花一叶醉陶然,我第一次这么前！！！！！,221,1622903813
GG意料之外,都在说什么美学什么的。我只看到李子柒做木工的熟练度以及手法，不敢讲是大师傅，但至少在行。什么美学都比不了这个。生活的自然。不知道你们几个懂的？艺术源于生活。活不明白什么都是假的。现代都市生活习惯用钱解决问题。但是我们的父辈们都习惯于动手制作。我都记得父亲常说“亲历亲为”“人不到不为财”。现在还多少年轻人听到呢？李子柒的魅力在于她亲历亲为的去学去做了。让生在都市的人感受到了亲历亲为得到的，收获的喜悦以及满足感。,201,1623046910
别骂了再骂人要骂傻了,姐姐，我好累，刚才又因为鸡毛蒜皮的小事发火，气一上来又在哭，可我只认真哭了五分钟，因为我过段时间要中考，我还有卷子没写完。哭哭啼啼地写，写着写着就忘了哭了。视频看了一半，还要背书，剩下的一半当睡前读物啦，姐姐的视频总能让人莫名其妙安心。好羡慕姐姐能过自己想过的生活，我也希望我可以有权利选自己想过的生活。希望我们都可以到达想去的地方[给心心],194,1622908706
GoldenBubbles,这不是传统文化与现代工艺相结合吗？曲水流觞+现代的电力水泵，使得只能靠溪流活水的曲水流觞得以活动自由，既能当茶桌，也能当饭桌。后面的茶类美食也都是能吃的啊，没有觉得华而不实，都是实用好吃的，比现代那些矫情的老树根茶桌好多了，还宣扬了传统文化。,194,1622952098
joht_JS,弹幕真的奇奇怪怪的，前面做那个曲水流觞的桌子，分明用钉子做的，不是榫卯结构，弹幕一堆人在那榫卯榫卯，最后柒哥他们玩飞花令，就一个弹幕都没有人说的。喜欢传统文化是好事，但不要知道一个词就在不相干的地方狂刷。,189,1622949593
燕语悦读,[打call]这绝对是子柒今年目前为止的视频中我最喜欢的一个！！看上个视频时就被花圃花墙们和流觞曲水桌夺去了目光！！！没想到这桌子真的是子柒自己做的！！！看到子柒堆假山做微缩景观时真的感动得眼眶红了，为智慧为勤劳为文化自信[爱心],173,1622906145
GauzePadsss,去某管看了一下评论，看到大家都在夸我李姐心满意足回来了哈哈哈,163,1622917083
必有妖人指点,"永和九年，岁在癸丑，暮春之初，会于会稽山阴之兰亭，修契事也。群贤毕至，少长咸集，此地有崇山峻岭，茂林修竹，又有清流激湍映带左右，引以为流觞曲水，列坐其次。虽无丝竹管弦之盛，一觞一咏，亦足以畅叙幽情。
古人仿照驱邪祈福风俗，三五好友沿小溪列坐，置酒杯于溪中，顺流而下，停于谁前，此人便将杯中酒一饮而尽。直至尽兴而归。
后世文人在饮酒同时，还得赋诗一首，或是互相咛诗作对，抒发胸臆，增进情义，同时抒发文采报复。
将之比做仅有填报肚子之用的活动，简直荒谬。
多了解历史，才会为自己能生在中国，认得汉字，识得诗词，赏的风月而自豪，",161,1622975304
小时不小时,啊啊啊哈哈哈我来了看完这个就睡觉祝自己高考加油成功上岸！！！女神女神千万保佑保佑,135,1622904772
特玛托队长,"准备抄袭的人:抄不来抄不来[捂脸]
溜了溜了[囧]",134,1622942310
kim和shego,@手工耿 进来学习[doge],129,1622907959
在等你靠近,希望高考一切顺利[给心心],109,1622904470
逆水寒手游-倾书,第一次这么近！！！我想上个热评！然而情商限制了我的发挥 那就祝姐夫们心想事成 身体健康[妙啊][妙啊][妙啊],99,1622904256
猫噢嗷咪,最近看到hgr直接抄袭中国古风发型了，那种头包起来还有花的和明代服饰一起搭配的头发梳起来绑在侧边的很温婉的发型。古装剧，江南什么的很常见的，他们都要偷了。本来除了辫子他们没有跟中国类似的发型了，而且很多是靠古代发型发展出来的架空古风。,91,1622974797
面朝大海_喝旺仔,仙女下凡[鼓掌],90,1622903783
多尔衮三滚,"今天来挺早！想拥有子柒姐姐的心灵手巧那是不可能了，那就……
让一下，摆摊咯！😏
୧⍤⃝🥖长棍面包
୧⍤⃝🍔汉堡
୧⍤⃝🍟薯条
୧⍤⃝🍗炸鸡腿
୧⍤⃝🍕披萨
୧⍤⃝🌭热狗
୧⍤⃝🥪三明治
୧⍤⃝🌮可乐饼
୧⍤⃝🥙夹馍
୧⍤⃝🥘海鲜披萨
୧⍤⃝🌯鸡肉卷
୧⍤⃝🍡三色小丸子
୧⍤⃝🍲炖土豆
୧⍤⃝🍱便当
୧⍤⃝🍘仙贝
୧⍤⃝🍙饭团
୧⍤⃝🍛咖喱饭
୧⍤⃝🍜拉面
୧⍤⃝🍝意大利面
୧⍤⃝🍣寿司
୧⍤⃝🍤炸虾
୧⍤⃝🎂大蛋糕
୧⍤⃝🧁纸杯蛋糕
୧⍤⃝🍰小块蛋榚
୧⍤⃝🍮布丁
以上通通一个赞，一个赞你买不了吃亏，一个赞你买不了上当，真正的物有所值😏",76,1622905630
飞云逝月,[捂脸][捂脸]人家给你展现心中向往的田园生活的意境，你在这扯真实？你咋不去看农村生活纪录片？闲的蛋疼吗?,72,1623475140
爱吃炒黄豆的兔子,据东汉杜笃《祓禊赋》的描绘：“王侯公主，暨乎富商，用事伊洛，帷幔玄黄。于是旨酒嘉肴，方丈盈前，浮枣绛水，酹酒醲川。若乃窈窕淑女，美媵艳姝，带翡翠，珥明珠，曳离袿，立水涯，微风掩壒，纤谷低回，兰苏盻 ，感动情魂。若乃隐逸未用，鸿生俊儒，冠高冕，曳长裾，坐沙渚，谈《诗》、《书》，咏伊吕，歌唐虞”。此时的“流觞曲水”已经成为了王公大臣、文人墨客春游欣赏美景跟赋诗作文的娱乐活动了。,70,1622907010
与天奋斗_其乐无穷,流觞曲水让我觉得，古代文人骨子里的那种浪漫，真的就感觉，诗词，古文，那种写出来的东西，是动了真感情去写的，是有情感在里面的，这是一种我们的文化遗产，这不是几个人围在一起蘸着口水吃席[辣眼睛]，而是人在这一小方天地的，与自然的那种和谐共生，是人与人之间的真切情感的交流。友人难得空闲，围坐在一起，挖沟引水，然后喝酒吟诗作赋。。这在我看来是一件很美的事情，是属于我们的文化，它不应该被商业化，还那么恶心的搞一个什么寿司，小日本就是贱，现在评论区某些说它像啥寿司的人也一样，就尼玛离谱，本都忘了，恶心[辣眼睛],70,1622992072
小云姐的日常,"为什么要学文言文古诗词？为什么这些没有被从课本中删除？这个视频就是答案
很多东西可能刚开始体会不到其中意境，只觉得枯燥乏味，但你的脑子里起码有了记忆有了初步认识
就是为了让你在看到这种视频知道这是“流觞曲水”，而不是回转寿司[OK]",64,1622961259
#NAME?,酿泉为酒，泉香而酒洌；山肴野蔌，杂然而前陈者，太守宴也。宴酣之乐，非丝非竹，射者中，弈者胜，觥筹交错，起坐而喧哗者，众宾欢也。----比起《兰亭集序》，我个人认为《醉翁亭记》更能展现这个视频里的场景。,57,1622904941
发麻麻的乖宝贝,"那年李子柒追了我三年 ，表白了两次我都给拒绝了。
前几天她说她很想我，没想到今天居然大老远的过来看我。
这一次我没有拒绝她，她哭了，哭得像一个孩子。
这也许就是大家所说的白日做梦吧。",57,1622903881
期末考加油呀,各位高考加油！山重水复疑无路，柳暗花明又一村！[打call],53,1622903959
カチャカチャ,其实每次看到什么“谁娶了李子染就太幸福了”啥就很尴尬，这什么意思？已经决定好了要白吃白喝了？觉得李子染好看还这么厉害喜欢喊是自己老婆就算了，“娶妻当娶李子染？”你老婆是按条件找的？先不说你不觉得有这条件还等着别人来娶？而且甚至有点浪费？其次虽然有点过于天真但妻子首先不应该是你喜欢这个人吗？“妻子”还需要什么条件吗？是你自己的“喜好”附加在了你的“妻子”上了吧。我其实以前看到那些“我有男/女朋友了”、“我想要个男/女朋友了”之类的发言就有点觉得很有目的性（有点动机不纯），就是带着目的去找对象的。虽然也没啥，是个人都想找个合适的伴，但总觉得还是“我和我喜欢的人在一起了！”、“我有喜欢的人了！”这种恋人更加真实一点。也希望李子染是能遇上喜欢的人在一起的。还有还有！果然我还是希望李子染的对象是能照顾她的！不然不就只是白养了个人吗（虽然她自己喜欢干啥都行），我个外人也不能说啥，但就是不想她被占便宜xxxxx看她厉害就使劲利用的赶脚( ･᷄д･᷅ ),51,1622942297
醋拌柠檬甜不甜,"越来越觉得姐姐是神仙了，心灵手巧长得又漂亮，只有姐姐不想做的，就没有姐姐不会做的，每一次都给我们带来惊喜 。
以前听过古人归隐山林或田园，还好奇“他们不会孤单吗”“那样多没意思啊”……
慢慢的，在经历了许多事情，见过了各式各样的人后，我开始也向往着这样的生活，校园暴力让我更加想逃离学校，逃离一切，我想过放弃，却又不甘于放弃，活着太难了，真的太难了……姑且暂时给自己一个坚持下去的理由，我只能这样了。
感谢姐姐的视频陪伴着我，希望姐姐和婆婆能一直这么平淡快乐下去，希望b站的各位都能有活下去的希望，希望我会永远在这里🙏
我们都有一个光明的未来。（抱歉抱歉，啰嗦了半天）[tv_腼腆]",48,1622912360
咖面耐哒,回转寿司的小桌子可铺不下王羲之的纸墨笔砚,47,1622997737
正人君子丷,"我是开头的木床，我在现场，东西都很香，姐姐很好，先祝大家身体健康。牙好胃口好，吃嘛嘛香。

要高考的都金榜题名，考个理想的成绩
打工的社畜都能摸鱼，每天准时的下班
要搬砖的兄弟砖不烫手，每天干三碗饭
到现在为止还单身你们，今年能找到另一半

下半年大家都要
身体健康，万事如意，事事顺心，遇到想遇到的人，完成想完成的事，加油，陌生人！我顶你个肺！

最后我会帮大家照顾好子柒姐姐的[狗子]",45,1622907790
冷空气持续影响的北方,居然连桌子都是自己做的[哦呼],44,1622904046
是白鱼诶_,好喜欢看这种改造的！子柒姐姐yyds（孩子第一次这么前，激动得手足无措[doge]）,43,1622904075
64332953264_bili,姐姐国外疫情现在还是挺严重的，你这发到外网上还让不让人家活了.....善哉、善哉！,42,1622907404
谢小玩-,"李子柒确实带火了中国一些传统文化，但是更多的是田园方面的东西。有时候想想为啥这方面的会火的，不可否认确实是拍的唯美，有内涵！但是另外说，也是西方就认为我国只会玩这个，没有啥高科技，创新的东西（让这些田园方面的东西火了不会影响西方的统治地位，更会加深固有刻板的印象！）
愿子柒更好，愿我国更好，中国的科技 智慧 文化真正走出世界！！",42,1622948745
詝楚,最烦那些瞎许愿的，真晦气，有空在这许愿不如把手机放下来去学习，不是你在这里刷个屏你的教资就能过你就能上岸的，醒醒吧[疑惑],40,1622965157
八月小十六,我喜欢子柒视频里带来的岁月正常流逝的感觉，不是那种匆匆忙忙，来不及喝一口茶，看一片云。视频里水面的油花，裤脚的泥土，都让我觉得安心。子柒的视频，是我可以逃避的地方。,39,1622908861
浪海无痕,这个桌子如果还能烫火锅就无敌了……[滑稽][doge],37,1622918189
碇_唯の梦,印象里的曲水流觞还是在课上听老师讲兰亭集序的时候，记得课件上曾有幅插图，里面十几个文人雅士沿着溪流席地而坐(倒不是那种桌子)，溪流上盘子里盛着酒，酒到谁跟前停下，谁就即兴赋诗一首并饮酒，真的是高雅的游戏，所以别在跟那什么回转寿司作比了，毁意境啊[笑哭][笑哭],36,1622996763
小问号朋友多多,得想办法娶了这个女人,36,1622905739
群风飘飘,中国的传统文化有可能会被小子柒全部做一遍，这孩子也太优秀的哦，中国的传统文化有可能在李子柒的 带动 下 将来一定会火遍全球的，我们中国人应该以她为荣,31,1623026231
缤纷苏打梦,柒姐这个泡茶手法一看就是很正宗啊啊啊啊啊！是有去学过吧，这个太强啦呜呜呜呜呜呜好感动，以前看小说看到那些泡茶情节就会想到底是怎么样的，今天看到啦！太棒了！！！真的好棒，我们的本土文化就是强啊！！！！（呜呜呜我在胡言乱语什么）,31,1622909087
Anniyai,我家好像也有这些材料[滑稽][滑稽][滑稽]不对我缺的是材料吗？不是，是像李子柒姐姐这样一双工匠的手[大哭][大哭][大哭][大哭][大哭],30,1622906159
喜欢高跟鞋踩猫,这更新是我没料到的[给心心],29,1622903913
教编程的编程君,"Li Ziqi's video really can let a person relax, see her video feel a day of fatigue are not[给心心]",29,1622903956
执子闲落花,"为什么会觉得是拍普遍意义上农家生活呢？李子柒给我的感觉是她在向他人传递一种她自己的生活美学，她自己的农家生活或者说桃花源。我们应该感受、欣赏美，甚至去学习，而不是去纠结，质疑。我实在认为没有任何这样做的必要，因为这一开始就跑偏了.. 
当然，上述仅是我个人观点。",28,1623343266
摩尔曼斯克港2003,小馋猫就知道你们会按点那个按时间排序来看[doge_金箍],28,1731402836
坏未来_好未来,不是，其实我一直有个疑问，就是她从来没说她拍的是真实的你们想象中的农村生活，她拍的一直是她自己真实喜欢的生活，不太理解你们一直说她拍的内容不符合什么什么到底是为了什么，如果她嘴上说着标榜自己拍的是中国真实的农村生活那你们评论我无话可说，你说你关注她的时候挺早的，不知道为什么关注那么早还没看出来她到底在拍什么，我也是从17年就开始关注她了，那时候视频也没那么长，也没有人说她拍的东西不真实，可能是近两年国际影响力增加了，媒体觉得她影响力大了，就开始宣传她拍出了中国传统文化，但是其实我感觉都只是拍出她感兴趣的东西她认为重要的有趣的东西，你们总说她拍的东西不真实，可是真实的东西你们又不爱看，我就不信我拍个我老家爷爷一天做农活的视频能有这么高的播放量了，如果让你们选一个视频给外国人看，你们是选择李子柒的视频，还是抖音上的一些也是拍农村生活的视频，比如牛爱芳，还有那个什么同学的视频，我会选择李子柒，在看什么视频上每个人都有选择的权利，你们爱看谁看谁，我不会觉得看牛爱芳就比我低俗了，但是如果要选择一个给外国人看我会选择李子柒,27,1642728370
零五鸽子05,！我还以为这个桌子是买的！！！看到的时候还在想这个桌子每个大几万下不来呢[跪了],26,1622904582
辣子人,"虽然但是，那个中间粉粉的多肉是药锦哦，就是用药破坏了植物叶绿素，使其呈现出粉色或白色，这种多肉很容易死的，希望大家买的时候也注意一下，中间一团白的那种就是了。
（出锦是多肉叶片呈现浅色竖条纹纹样，算是植物变异吧，因为很好看，所以很多商家就用药冒充多肉出锦）",25,1622910188
