id,screen_name,text_raw,like_counts,total_number,created_at
5.10027E+15,一诺9999金,视频中的每一个画面都很熟悉，我从一开始最初的小画面，从子柒自己拿着手机拍，一直看到了现在越来越精美清晰的画面，很感动，说不上来的感动，好像自己陪同子柒也经历了一遍这些生活。希望子柒越来越好，奶奶身体健康。,2,0,Wed Nov 13 15:05:10 +0800 2024
5.10023E+15,椰奶啵啵牛乳奶茶,太喜欢这个更新频率了[努力][努力][努力],1,1,Wed Nov 13 12:59:38 +0800 2024
5.10023E+15,小肉手爱奇思妙想_,欢迎姐姐回来！！[心][心][心],1,1,Wed Nov 13 12:32:59 +0800 2024
5.10023E+15,汪汪小圆脸拯救世界,欢迎回来！！！！,1,1,Wed Nov 13 12:32:47 +0800 2024
5.10023E+15,晓晓易吖哈,啊，柒姐更新的好频繁，弥补我们三年的空缺嘛[赢牛奶],1,1,Wed Nov 13 12:32:43 +0800 2024
5.10023E+15,Joker-揪揪,下饭视频回来了 http://t.cn/A6nTRAAn,1,0,Wed Nov 13 12:32:35 +0800 2024
5.10023E+15,LaoYAO物,每天一更！！！！,1,1,Wed Nov 13 12:32:21 +0800 2024
5.10023E+15,烦恼离小h远点,老婆[彩虹屁][彩虹屁],1,1,Wed Nov 13 12:31:40 +0800 2024
5.10023E+15,怎么肚肚又饿了,前排[憧憬][憧憬][憧憬],1,1,Wed Nov 13 12:31:05 +0800 2024
5.10023E+15,橘子量販記,喜欢喜欢[哇][哇][哇],1,1,Wed Nov 13 12:30:51 +0800 2024
5.10023E+15,潘多拉魔玐玐,太高产了吧我的姐！,1,1,Wed Nov 13 12:33:14 +0800 2024
5.10023E+15,骑驴找马追骆驼的荼昳,请按照这个频率更新，紫气归来,1,1,Wed Nov 13 12:32:06 +0800 2024
5.10512E+15,Yen-ocean,也傳承了孝道[贊][嘻嘻][嘻嘻],1,0,Wed Nov 27 00:31:36 +0800 2024
5.10466E+15,璟色zoe,《如愿》居然是王菲的，居然是《我和我的父辈》的歌，我第一次听，好好听，好感人,1,0,Mon Nov 25 18:06:26 +0800 2024
5.10221E+15,A心悦_已久,[心][心][心][鼓掌][鼓掌][鼓掌][鼓掌],1,0,Mon Nov 18 23:36:21 +0800 2024
5.10191E+15,何家叶子,[泪][泪]一切美好的祝愿，也送给你,1,0,Mon Nov 18 04:15:33 +0800 2024
5.10168E+15,陆加霜_雪上加霜版,唯一大女主[彩虹屁][彩虹屁],1,0,Sun Nov 17 12:30:34 +0800 2024
5.10114E+15,超级可耐的宁宝_见到鹿晗版,我知道这个，恋与之前非遗也是联名的这个[哇],1,0,Sat Nov 16 01:00:47 +0800 2024
5.10096E+15,降雨概率零,听哭了[苦涩][苦涩][苦涩],1,0,Fri Nov 15 13:14:26 +0800 2024
5.10094E+15,Himmelsboten,很棒，有点泪目呢,1,0,Fri Nov 15 11:50:12 +0800 2024
5.10093E+15,岁月静好_csd,小妹妹是治愈系大女主，支持你，祝福你,1,0,Fri Nov 15 11:17:28 +0800 2024
5.10089E+15,sky幸运墨宝,谢谢妹娃[抱一抱][抱一抱][抱一抱]也祝福你一路生花[送花花][送花花][送花花],1,0,Fri Nov 15 08:44:17 +0800 2024
5.10068E+15,初夏微薰kkkkk,我们班也曾经做过一个扇子[嘻嘻] http://t.cn/A6nu5ge6,1,0,Thu Nov 14 18:48:12 +0800 2024
5.10061E+15,ElioNectarine,在工位给我看得眼泪哗哗流,1,0,Thu Nov 14 13:52:51 +0800 2024
5.10059E+15,夔门渔郎君莫笑,当歌声响起，瞬间产生错觉：子柒要是追我，我该怎么办？凯文在纽约说的没错，这就是一支电子烟，那又如何？我愿意，吸上一口！我想家了，我想回乡下了。。。,1,0,Thu Nov 14 12:53:01 +0800 2024
5.10059E+15,EmilyDemg,我们为啥要学欧美呢？我们五千年的文化皮毛都没学到一点。年轻一代是不是反省一下,1,0,Thu Nov 14 12:48:04 +0800 2024
5.10057E+15,曦晨学长,[羞嗒嗒][哇][爱你][心][给你小心心][抱一抱],1,0,Thu Nov 14 11:11:48 +0800 2024
5.10057E+15,吕瑾2270,[悲伤]看一个视频，就哭一次，小姑娘太不容易了,1,0,Thu Nov 14 11:04:08 +0800 2024
5.10042E+15,潘小仙呀,姐还有多少惊喜是我们不知道的[打call],1,0,Thu Nov 14 01:14:46 +0800 2024
5.10041E+15,草原巨兔,我天！太好听了！姐姐惊为天人[心][心][心],1,0,Thu Nov 14 00:34:01 +0800 2024
